ID;Nombre;Nombre Centro Control;Nombre Propietario;Nombre Coordinado;Número;Nemotecnico;Descripcion;Región;Provincia;Comuna;5.1 Barras por nivel de tensión y su respectiva capacidad térmica, en función de la T° ambiente y T° conductor (Tabla de Relación Corriente – Temperatura);5.2 Tipo de configuración (barra simple, barra doble, interruptor y medio, etc.);5.3 Equipos de transformación;5.4 Interruptores (especificar si corresponden a interruptores de paño de línea, seccionadores de barra, de transferencia, u otros);5.5 Desconectadores;5.6 Conexiones de puesta a tierra. Indicar si la subestación posee conexiones y sus ubicaciones;5.7 Equipos de medida;5.8 Equipos de sincronización;5.9 Equipos de comunicaciones;5.10 Sistemas de protección;5.11 Transformadores de medida (corriente y tensión);5.12 Pararrayos;5.13 Fecha de entrada en operación;Coordenada Este;Coordenada Norte;Zona o Huso [Ej: 18H-19J etc.];1 Diagrama unilineal, señalando capacidad nominal de equipos primarios  (*.dwg y *.pdf);2 Plano de planta y elevación de la subestación (*dwg y *. pdf);3 Plano de la malla de tierra: aérea y subterránea (*dwg y *.pdf);4 Diagramas unilineales de los servicios auxiliares de CA y CC (*.dwg y *.pdf);5 Disposición de equipos en sala de servicios generales.
199;S/E CENTRAL ALFALFAL;AES ANDES S.A.;AES ANDES S.A.;AES ANDES S.A.;1;SE001G0010;;METROPOLITANA DE SANTIAGO;CORDILLERA;SAN JOSÉ DE MAIPO;"ID 1164 - BA S/E CENTRAL ALFALFAL 220KV B1; ID 1165 - BA S/E CENTRAL ALFALFAL 220KV B2 [EN_REVISION]; ID 1609 - BA S/E CENTRAL ALFALFAL 220KV BT";BARRA SIMPLE + TRANSFERENCIA;SI;SI;SI;SI;SI;SI;SI;AJUSTES PROTECCIONES ALFALFAL.RAR;SI;SI;1990;389154;6292393,013;19H;"0. Diagrama Unilineal-Funcional SE Alfalfal Lam.2 Rev.9 U2 MNR 3113.pdf; 0. Diagrama Unilineal-Funcional SE Alfalfal Lam.2 Rev.9 U2 MNR 3113.dwg";9961-1-EL-DEQ-4000_1-Disposición_de_Equipos_Patio_AT_Planta.dwg / 9961-1-EL-DEQ-4000_1-Disposición_de_Equipos_Patio_AT_Planta.pdf / 9961-1-EL-DEQ-4001_1 - Disposición Equipos Patio AT - Secciones.dwg / 9961-1-EL-DEQ-4001_1 - Disposición Equipos Patio AT - Secciones.pdf / 9961-1-EL-DEQ-4002_0-Plano_General_SE_Alfalfal.dwg / 9961-1-EL-DEQ-4002_0-Plano_General_SE_Alfalfal.pdf /TSIC-Alfalfal-E-002-Disposicion Equipos Secciones.dwg / TSIC-Alfalfal-E-002-Disposicion Equipos Secciones-Layout1.pdf;VD-702-EL-MPT-AE-PL-001.pdf / VD-702-EL-MPT-AE-PL-001.dwg / 19154A1ELEGND001-RB.pdf / 19154A1ELEGND001-RB.dwg;9961-1-EL-DUN-4000L01_1 - Diagrama Unilineal SSAA C.C.dwg / 9961-1-EL-DUN-4000L01_1 - Diagrama Unilineal SSAA C.C.pdf / 9961-1-EL-DUN-4000L02_1 - Diagrama Unilineal SSAA C.C.dwg /9961-1-EL-DUN-4000L02_1 - Diagrama Unilineal SSAA C.Cpdf / 9961-1-EL-DUN-4001_1 - Diagrama Unilineal SSAA C.A.dwg / 9961-1-EL-DUN-4001_1 - Diagrama Unilineal SSAA C.A.pdf;"BARRA 400 EDC.pdf; BARRA 400 EDC.dwg; PISO GOBERNADOR.pdf; PISO GOBERNADOR.dwg; SALA BARRA 12 KV.pdf; SALA BARRA 12 KV.dwg; SALA DE BATERIAS CDM ALF.pdf; SALA DE BATERIAS CDM ALF.dwg; SALA DE BATERIAS EDC ALF.pdf; SALA DE BATERIAS EDC ALF.dwg; SALA DE T AUX. CDM.pdf; SALA DE T AUX. CDM.dwg; SALA DE VENTILACION CDM ALF.pdf; SALA DE VENTILACION CDM ALF.dwg."
200;S/E CENTRAL LAGUNA VERDE;AES ANDES S.A.;AES ANDES S.A.;AES ANDES S.A.;2;SE002G0010;;VALPARAÍSO;VALPARAÍSO;VALPARAÍSO;CORRIENTES_BARRAS_LAGUNAVERDE;BARRA SIMPLE;SI;SI;SI;SI;SI;SI;SI;AJUSTES PROTECCIONES LAGUNA VERDE.RAR;SI;SI;1939;250123,25;6334053,43;19H;LV1-E-001_Laguna_Verde_Unilineal.dwg / LV1-E-001_Laguna_Verde_Unilineal-Modelo.pdf;TSIC-Laguna Verde -E-001 Disposicion Equipos Planta.dwg / TSIC-Laguna Verde -E-001 Disposicion Equipos Planta.pdf /TSIC-Laguna Verde -E-002 Disposicion;TSIC-Laguna Verde -E-003 Disposicion  Planta MPT General.dwg / TSIC-Laguna Verde -E-003 Disposicion  Planta MPT General.pdf;Distrib. Anillo de C.A..dwg / Distrib. Anillo de C.A..pdf / Distrib. Anillo de C.A.;2007-CLV-RCEN-00 AB.dwg / 2007-CLV-RCEN-01 AB.pdf / 2007-CLV-RCEN-02 AB.pdf / 2007-CLV-RCEN-03 AB.pdf /2007-CLV-RCEN-04 AB.pdf / 2007-CLV-RCEN-05 AB.pdf
201;S/E CENTRAL MAITENES;AES ANDES S.A.;AES ANDES S.A.;AES ANDES S.A.;4;SE004G0010;;METROPOLITANA DE SANTIAGO;CORDILLERA;SAN JOSÉ DE MAIPO;CORRIENTES_BARRAS_MAITENES;DOBLE BARRA;SI;SI;SI;SI;SI;SI;SI;AJUSTES PROTECCIONES MAITENES.RAR;SI;NO;1921;382821;6289100,013;19H;"COOR-201-1296-DUF-H+Diagrama+Unilineal+SSEE+Maitenes_Rev_7.dwg ; COOR-201-1296-DUF-H+Diagrama+Unilineal+SSEE+Maitenes_Rev_7.pdf";ING087-PL-ELE-003-1_Disposicion de Equipos.dwg / ING087-PL-ELE-004-1_Cortes Maitenes.dwg /ING087-PL-ELE-003-1_Disposicion+de+Equipos-Layout1.pdf /ING087-PL-ELE-004-1_Cortes+Maitenes-LAYER1.pdf;TSIC-MAITENES-E-003 Disposicion M.P.T. Planta General.dwg /TSIC-MAITENES-E-003 Disposicion M.P.T. Planta General-Presentación1.pdf / TSIC-MAITENES-E-004 Disposicion M.P.T. Aerea Planta.dwg / TSIC-MAITENES-E-004 Disposicion M.P.T. Aerea Planta-Presentación1.pdf;8.1 TDCA Sala de Control 8814-E-22 1 de 1.dwg / 8.1 TDCA Sala de Control 8814-E-22 1 de 1-Modelo.pdf / 8.2 TDCC Sala de Control 8814-E-23 1 de 2.dwg / 8.2 TDCC Sala de Control 8814-E-23 1 de 2-Modelo.pdf;"CDM+MAITENES.pdf; CDM+MAITENES.dwg;  CDM+SEGUNDO+PISO+MAITENES.pdf; CDM+SEGUNDO+PISO+MAITENES.dwg;  SALA+DE+BATERIAS+MAITENES.pdf; SALA+DE+BATERIAS+MAITENES.dwg"
203;S/E CENTRAL QUELTEHUES;AES ANDES S.A.;AES ANDES S.A.;AES ANDES S.A.;6;SE006G0010;;METROPOLITANA DE SANTIAGO;CORDILLERA;SAN JOSÉ DE MAIPO;CORRIENTES_BARRAS_QUELTEHUES;DOBLE BARRA;SI;SI;SI;SI;SI;SI;SI;AJUSTES PROTECCIONES QUELTEHUES.RAR;SI;NO;1925;387185,02;6258004,74;19H;ELEC-QUE-DIAG_FUN-REV_03 (RETROFIT VOLCAN).dwg  & ELEC-QUE-DIAG_FUN-REV_03 (RETROFIT VOLCAN).pdf;TSIC-QUELTEHUES-E-001 Disposicion Equipos Patio Planta.dwg / TSIC-QUELTEHUES-E-001 Disposicion Equipos Patio Planta.pdf / TSIC-QUELTEHUES-E-002 Disposicion Equipos Secciones.dwg / TSIC-QUELTEHUES-E-002 Disposicion Equipos Secciones.pdf;00- C. Volcan Malla Tierra.dwg / 00- C. Volcan Malla Tierra.pdf / 01- C.Queltehues Malla de Tierra.dwg / 01- C.Queltehues Malla de Tierra.pdf / TSIC-QUELTEHUES-E-003 Disposicion M.P.T Planta General.dwg / TSIC-QUELTEHUES-E-003 Disposicion M.P.T Planta General.pdf / TSIC-QUELTEHUES-E-004 Disposicion Malla Tierra Aerea.dwg / TSIC-QUELTEHUES-E-004 Disposicion Malla Tierra Aerea.pdf;31- T.D.C.A..dwg / 31- T.D.C.A..pdf / 41- Cargador Bateria Panel Distrib.48v.c.c Scada.dwg / 41- Cargador Bateria Panel Distrib.48v.c.c Scada.pdf;1001-EE-PLA-003/CASA DE MAQUINAS QUE SEGUNDO PISO/CASA DE MAQUINAS QUE/SALA DE BATERIAS QUE
204;S/E SAN PEDRO (CTNG);CHILQUINTA DISTRIBUCIÓN S.A.;COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.;COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.;1;SE001T0048;;VALPARAÍSO;QUILLOTA;QUILLOTA;"(ID 1168_BA S/E SAN PEDRO (AES GENER) HBP1) ; (ID 1740_BA S/E SAN PEDRO (AES GENER) HBP2)";DOBLE BARRA;SI;SI;SI;NO;SI;SI;SI;SI;SI;NO;01-01-1963;288251,18;6353504,92;19H;"SE12-PL-EF-001-00-R10.dwg; SE12-PL-EF-001-00-R10.pdf";204_ANEXOS - SAN PEDRO;204_ANEXOS - SAN PEDRO;204_ANEXOS - SAN PEDRO;204_ANEXOS - SAN PEDRO
205;S/E CENTRAL SANTA LIDIA;GM HOLDINGS S.A.;GENERADORA METROPOLITANA SPA;GM HOLDINGS S.A.;11;SE011G0434;;BÍO BÍO;BÍO BÍO;CABRERO;N/A Propiedad de Transelec;OTRA;SI;SI;SI;SI;SI;SI;SI;AJUSTES_PROTECCION_GENERADOR15KV.PDF;SI;SI;2008;738463;5891386;18H;01. Diagrama Unilineal;02. Plano Planta y elevación SSEE SLI;03. Malla PAT;04. Unilineales y cuadros de carga;05. Disposición de equipos SSGG
206;S/E TORQUEMADA;CHILQUINTA DISTRIBUCIÓN S.A.;COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.;COMPAÑÍA TRANSMISORA DEL NORTE GRANDE S.A.;2;SE002T0048;;VALPARAÍSO;VALPARAÍSO;CONCÓN;"(ID 1351_BA S/E TORQUEMADA HBP1) ; (ID 2406_BA S/E TORQUEMADA HBP2)";DOBLE BARRA;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;01-01-2007;268850,28;6353171,91;19H;"206_ANEXOS - SE TORQUEMADA ; SE53-PL-EF-001-00-R02 (DUF)";206_ANEXOS - SE TORQUEMADA;206_ANEXOS - SE TORQUEMADA;206_ANEXOS - SE TORQUEMADA;206_ANEXOS - SE TORQUEMADA
207;S/E VENTANAS;AES ANDES S.A.;AES ANDES S.A.;AES ANDES S.A.;8;SE008G0010;;VALPARAÍSO;VALPARAÍSO;PUCHUNCAVÍ;CORRIENTES_BARRAS_VENTANAS;DOBLE BARRA;SI;SI;SI;SI;SI;SI;SI;AJUSTE PROTECCIONES VENTANAS.RAR;SI;SI;1964;267552,09;6373758,69;19H;"1.- Diagrama Unilineal-Funcional SE Ventanas Rev.8.dwg; 1.- Diagrama Unilineal-Funcional SE Ventanas Rev.8.pdf";TSIC-Ventanas-E-001-Disposicion Equipos Planta.dwg / TSIC-Ventanas-E-001-Disposicion Equipos Planta-Layout1.pdf / TSIC-Ventanas-E-002.1-Disposicion Equipos Secciones.dwg / TSIC-Ventanas-E-002.1-Disposicion Equipos Secciones-Layout1.dwg / TSIC-Ventanas-E-002.2-Disposicion Equipos Secciones.dwg / TSIC-Ventanas-E-002.2-Disposicion Equipos Secciones.pdf;SDO - 12342 - Malla de Tierra Disposición General.pdf;4.- SDO-11777 Lam.1 T.D.C.A. Rev.5.dwg / 4.- SDO-11777 Lam.1 T.D.C.A. Rev.5-Modelo.pdf / 5.- SDO-12683 Lam.1 T.D.C.C. Rev.4.dwg / 5.- SDO-12683 Lam.1;Disp.Equipos SE Ventanas PROT-166.dwg / Disp.Equipos SE Ventanas PROT-166.pdf
209;S/E CENTRAL HORCONES;ARAUCO BIOENERGÍA SPA;ARAUCO BIOENERGÍA SPA;ARAUCO BIOENERGÍA SPA;1;SE001G0002;;BÍO BÍO;ARAUCO;ARAUCO;Sin información;OTRA;SI;SI;SI;SI;SI;SI;SI;Si;SI;SI;22-09-04;658233,4;5880147,6;18H;A1-2041-000-03-600 Diagrama Unilineal General SE Central Horcones (.dwg y .pdf), A1-2041-000-03-601 Diagrama Unilineal SE Central Horcones.dwg;A1-2041-000-03-600 Plano de Planta SE Central Horcones (.dwg y .pdf), A1-2041-000-03-602 Plano de Elevación SE Central Horcones (.dwg y .pdf);A1-2041-000-03-601 Plano de Malla de Tierra SE Central Horcones (.dwg y .pdf);Diagrama Unilineal de CA SE Horcones (.dwg y .pdf), Diagrama Unilineal de CC SE Horcones (.dwg y .pdf);Disposición de Equipos Sala Eléctrica SE Horcones (.dwg y .pdf)
210;S/E CENTRAL PUNTA COLORADA;ENORCHILE S.A.;COMPAÑÍA BARRICK CHILE GENERACIÓN SPA;COMPAÑÍA BARRICK CHILE GENERACIÓN SPA;1;SE001G0062;;COQUIMBO;ELQUI;LA HIGUERA;no aplica;BARRA SIMPLE;NO;SI;SI;SI;SI;NO;NO;SI;SI;SI;01-05-2020 0:00:00;301655,6073;6749627,269;19J;NEVA0634-6314-E-DI-0101+Rev+6_cen+(sin+nubes);NEVA0634-6314-E-DG-0001_2+As-Built y NEVA0634-6314-E-DG-0401_1+As-Built;NEVA0634-6314-E-DG-0105_4+As-Built;NEVA0634-6314-E-DI-0109_2+As-Built y NEVA0634-6314-E-DI-0110_2+As-Built y NEVA0634-6314-E-DI-0111_1+As-Built y NEVA0634-6314-E-DI-0112_1+As-Built;NEVA0634-6314-A-DW-0601+REV+2 y NEVA0634-6314-E-DG-0601_3+As-Built
